N,Questions,corrAnswers,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,S97,S98,S99,S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110,S111,S112,S113,S114,S115,S116,S117,S118,S119,S120,S121,S122,S123,S124,S125,S126,S127,S128,S129,S130,S131,S132,S133,S134,S135,S136,S137,S138,S139,S140,S141,S142,S143,S144,S145,S146,S147,S148,S149,S150,S151,S152,S153,S154,S155,S156,S157,S158,S159,S160,S161,S162,S163,S164,S165,S166,S167,S168,S169,S170,S171,S172,S173,S174,S175,S176,S177,S178,S179,S180,S181,S182,S183,S184,S185,S186,S187,S188,S189,S190,S191,S192,S193,S194,S195,S196,S197,S198,S199,S200,S201,S202,S203,S204,S205,S206,S207,S208,S209,S210,S211,S212,S213,S214,S215,S216,S217,S218,S219,S220,S221,S222,S223,S224,S225,S226,S227,S228,S229,S230,S231,S232,S233,S234,S235,S236,S237,S238,S239,S240,S241,S242,S243,S244,S245,S246,S247,S248,S249,S250,S251,S252,S253,S254,S255,S256,S257,S258,S259,S260,S261,S262,S263,S264,S265,S266,S267,S268,S269,S270,S271,S272,S273,S274,S275,S276,S277,S278,S279,S280,S281,S282,S283,S284,S285,S286,S287,S288,S289,S290,S291,S292,S293,S294,S295,S296,S297,S298,S299,S300,S301,S302,S303,S304,S305,S306,S307,S308,S309,S310,S311,S312,S313,S314,S315,S316,S317,S318,S319,S320,S321,S322,S323,S324,S325,S326,S327,S328,S329,S330,S331,S332,S333,S334,S335,S336,S337,S338,S339,S340,S341,S342,S343,S344,S345,S346,S347,S348,S349,S350,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,text_4.started,text_4.stopped,copyText.started,copyText.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,copyText2.started,copyText2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.624204099993221,None,space,2.384350500011351,13.624204099993221,None,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Aug_11_2137,ReadingTask01,2020.2.5,59.93823964034189,
74,How many weeks does the lease run for (number)?,16,The ,Glue,It's,These,Rice,The,The,The,Four,A,The,A,The,Kick ,Help,A,Smoky,The,The,The,The,The,Press,The,The,Two,Her,The,It,Read,Hoist,Take,Note,Wipe,Mend,The,The,The,The,What,A ,The,Sickness,The,The,Lift,The,Hope,The,Mesh,The,The,Adding,The,A,The,March,A,Place,Both,We,Use,He,The,A,Cars,The,This,The,Those,A ,The,The,The,The,A,The,The,The,The,The,See,There,The,The,The,Cut,Men,Always,He,The,A,A,The,The,Bail,The,A,Ten,The,Oak,Cats,The,Open,Add,Thieves,The,Act,The,Move,The,Leaves,The,Split,Burn,He,Weave,Hemp,A,We,Type,The,The,The,Paste,The,It,The,Feel,The,A,He,Pluck,Two,The,Bring,Write,Clothes ,We,Port,The,Guess,A,The,Those,Pure,The,The,Mud,The,The,A ,He,The,The,The,The,We,She,The,The,At,Drop,A,An,Wood,The,He,A,A,Steam,The,There,The,Torn,Sunday,The,The,They,Add,Acid,Fairy,Eight,The,A,Add ,We,There,He ,She,The,Corn,Where,The,Sell,The,The,Bring,They,Farmers,The,The,Float,A,A ,The,After,The,He,Even,The,The,The,Do,Live,The,It ,Write,The,The,A,Coax,Schools,The,They,The,The,Jazz,Rake,Slash,Try,They,He ,They,The,Whitings,Some,Jerk,A,"Madam,",On,The,This,Add,The,The,The,To,The,Jump,Yell,They,Both,In,The,The,Ducks,Fruit,These,Canned,The ,Carry,The,We,Gray,The,High,Tea,A ,A,The,Find,Cut,The,Look,The,Nine,The,The,Soak,The,A,All,A,To,Shape,A,Hedge,Quench,Tight,The,The,The,Watch,The ,The,Write,His,The,Tin,Slide,The,The,Pink,She,The,It,Let's,The,The,The,The,The,Paper,The,The,Screw ,Time,The,Men,Fill,He,We,Pack,The,The,Boards,The,Glass,Bathe,Nine,The,The,The,Pages,Try,Women,The,A ,Code,Most,He,The,Mince,The,Let,A,A,Tack,Next,0,0,0,0,0,0,0,74,0,0,0,0,,,,,,,space,1.096099400005187,16.728573000000324,None,16.728573000000324,None,,,,,,,,,,,,,,,,,,001,2022_Aug_11_2137,ReadingTask01,2020.2.5,59.93823964034189,
74,How many weeks does the lease run for (number)?,16,birch,the,easy,days,is,juice,box,hogs,hours,large,boy,rod,source,the,the,pot,fires,soft,salt,girl,small,fish,the,swan,beauty,blue,purse,colt,"snowed,",verse,the,the,closely,the,the,wrist,stray,young,meal,joy,king,ship,kept,wide,lazy,the,rope,over,friendly,wire,frosty,crooked,fast,show,saw,wagon,the,cup,a,lost,talked,a,ran,clock,small,and,set,is,dune,words,yacht,two,ink,walled,lease,tame,horn,heart,pearl,fruit,Navy,the,are,hat,lawyer,grass,the,strive,close,lay,slush,wisp,pound,fin,play,the,term,tusk,pins,bill,is,and,pipe,the,the,who,ripe,on,hog,the,bark,turn,pennant,the,peat,ordered,the,is,lame,find,out,harder,boss,cup,can,slang,caught,wharf,the,tiny,cramp,said,the,plus,glow,your,a,and,frown,is,young,the,salt,just,thistles,bred,tree,spot,was,cigar,empty,speedy,broke,coffee,urge,pencils,pirates,tried,sewed,sofa,jacket,that,the,filing,abrupt,is,office,knew,rag,shower,hissed,child,was,sky,scraps,is,doctor,new,felt,the,burns,tales,miles,third,young,the,admire,the,carved,has,fruit,cobs,were,paper,your,tongs,petals,your,could,came,brown,lure,the,blue,fresh,club,the,hostess,wrote,the,cement,loss,fly,that,wires,large,is,at,doorknob,wreck,pencil,a,for,lamp,took,ancient,shaky,and,the,the,to,are,broke,floated,map,are,ads,the,waxed,this,the,play,will,salt,rush,birch,box,make,first,the,and,are,brothers,some,prince,houses,fly,flavours,pills,pears,dark,the,train,are,paint,rude,seats,served,dash,zestful,horse,the,the,red,in,cold,men,junk,flint,the,shelves,joy,sat,cloud,reach,the,ridge,apples,your,curls,mute,gold,old,the,node,heap,fast,shirt,barrel,cans,the,plant,beam,clouds,danced,tube,is,all,last,fight,store,peace,rise,is,quick,nozzle,the,brings,purple,think,the,smoked,need,the,crunch,copper,will,plush,will,and,rows,beach,idea,kitten,bound,to,form,zones,gem,is,of,used,vane,pie,clan,it,castle,child's,the,Tuesday,0,0,0,0,0,0,0,74,0,1,1,1,,,,,,,space,0.27361399999062996,17.91084929999488,None,17.91084929999488,None,,,,,,,,,,,,,,,,,,001,2022_Aug_11_2137,ReadingTask01,2020.2.5,59.93823964034189,
74,How many weeks does the lease run for (number)?,16,canoe,sheet,to,a,often,of,was,were,of,size,was,is,of,ball,woman,of,lack,cushion,breeze,at,pup,twisted,pants,dive,of,fish,was,reared,"rained,",out,load,winding,the,grease,coat,was,cat,girl,was,there,ruled,was,him,road,cow,square,will,the,gang,keeps,air,maze,leads,was,is,moved,soldiers,of,rosebush,their,of,pencil,halfway,struck,creek,busses,of,a,rose,were,slid,met,stain,town,ran,squirrel,of,beat,was,peel,attacked,cat,more,brim,tried,curled,pie,but,the,prone,lay,of,of,was,seems,boat,ended,is,were,was,strong,Dogs,began,crate,sum,rob,taste,these,crawled,vat,of,brown,waved,log,after,peach,carpet,a,back,joy,three,he,ran,cracked,cleanse,word,its,could,heat,girl,is,the,bright,seven,deepened,problems,fond,lodging,when,a,kid,result,pickle,claim,bend,poodles,top,on,spattered,burned,flask,man,a,stand,to,have,seized,to,the,cushion,hung,high,two,case,start,best,paint,the,will,of,from,almost,a,that,littered,the,cured,girl,gay,store's,holes,should,of,act,child,column,and,flood,a,a,of,can,they,box,gift,lay,fall,best,laugh,in,house,is,soap,crane,start,rented,"dance,",taught,his,worst,had,of,made,with,should,house,hard,once,was,occurred ,with,young,ladies,shone,the,coin,barn,swing,rubbish,gold,have,pushed,his,on,had,small,serve,rope,floor,is,islands,began,lead,before,for,looked,is,pure,worm,fence,clap,men,wear,form,ordered,are,north,are,do,lack,pot,pail,brought,sure,stretched,laugh,are,from,of,food,trotted,twin,cord,tape,the,drizzle,were,yard,sputtered,cloth,were,to,frozen,of,the,clay,on,may,"thirst,",get,muffles,ring,pan,log,on,of,if,was,of,are,box,grew,dropped,floated,like,was,late,join,switch,will,walls,league,to,"scarce,",fox,of,round,us,tie,and,ink,a,grain,records,of,bowl,warp,chair,clink,relax,of,is,is,chased,in,trace,less,merge,in,used,the,the,on,is,gathered,"burn,",built,wit,strip,we,0,0,0,0,0,0,0,74,0,2,2,2,,,,,,,space,0.1889728000096511,18.22770760000276,None,18.22770760000276,None,,,,,,,,,,,,,,,,,,001,2022_Aug_11_2137,ReadingTask01,2020.2.5,59.93823964034189,
74,How many weeks does the lease run for (number)?,16,slid,to,tell,chicken,served,lemons,thrown,fed,steady,in,there,used,the,straight,get,tea,flame,broke,came,the,gnawed,and,and,was,the,swam,full,and ,and,loud,to,path,size,off,before,badly,gave,gave,cooked,is,the,torn,home,shimmered,law,stone,bind,fence,left,chicks,passed,failed,to,a,a,on,past,sugar,near,lives,the,to,to,to,cut,stalled,china,grand,from,the,around,while,dried,was,out,makes,the,strongly,worn,was,the,glaring,than,was,to,around,into,seldom,barn,and,deep,cloud,sugar,sharp,dull,to,in,used,set,paid,and,each,to,but,to,friends,of,orders,under,over,the,and,when,with,the ,pie,on,weed,kept,in,lists,tried,the,and,the,for ,hind,be,of,took,no,same,rose,is,in,to,note,are,events,strong,the,from,tastes,got,in,have,waved,the,on,a,stood,can,new,is,write,all,the,replace,torn,is,on,level,when,is,does,for,was,skill,soak,dirt,the,hurt,sound,morning,the,best,him,was,when,account,in,be,woodland,was,should,and,love,mark,head,smart,a,be,when,is,to,beside,with,compass,although,to,was,used,on,is,will,the,they,the,last,will,dried,the,its,a,be,had,to,or,made,by,black,calf,teach,with,axe,was,fell,fans,up,cloth,the,back,ties,They,an,fish,to,and,makes,the,the,as,the,you,funds,stark,held,"ice,",gets,and,as,who,the,or,his,built,but,used,less,full,hung,to,our,that,for,filled,best,the,pepper,is,around,who,that,bound,corner,will,hired,had,and,and,bare,every,and,dust,end he,gently,a,stain,then,limp,the,fits,was,float,the ,fallen,you,clean,beer,absent,into,large,down,with,a,blown,morning,as,cannot,end,were,met,fame,so,jumped,the,cap,many,was,plan,jar,big,to,in,feet,shone,unless,leaned,when,in,soldiers,dry,to,the,cloth,the,than,in,the,when,news,lathe,top,a,on,it,from,saved,of,must,0,0,0,0,0,0,0,74,0,3,3,3,,,,,,,space,0.2671126999921398,18.461489199995412,None,18.461489199995412,None,,,,,,,,,,,,,,,,,,001,2022_Aug_11_2137,ReadingTask01,2020.2.5,59.93823964034189,
74,How many weeks does the lease run for (number)?,16,on,the,the,leg,in,makes,beside,chopped,work,stockings,when,to,huge,and,back,helps,and,the,across,booth,a ,turned,sew,far,view,in,of,threw,hailed,for,your,to,of,his,you,strained,birth,no,before,in,state,apart,the,in,in,over,the,and,the,inside.,through,to,wrong,flop,tool,well,the,makes,the,in,side,write,the,mark,across ,in,hit,season,the,cue,the,playing,on,seized,in,a,car,and,in,cut,big,at,two,wide,lose,the,large,get,door,hardly,along,hung,costs,and,and,stop,late,to,in,every,also,hate,rust,don't,the,deserve,cheese,with,the,the,pine,yellow,the,a,logs,with,the,found,his,the,of,the,show,spilled,most,raw,paw,seen,the,off,small,phrase,without,less,the,the,to,free,take,wine,rusty,the,fine,the,a,curls.,in,blotter,the,hole,on,beat,shoelace,too,short,been,crew,the,coat,red,the,the,you,now,not,making,a,of,up,fell,broken,the,of,was,stone,part,with,fired,the,to,wool,fun,burned,dull,not,put,a,is,from,way,fig,used,they,full,a,the,the,to,they,thresh,on,to,top,a,work,rink,went,new,novel,beat,when,second,way,wooden,kept,hot,erase,you,of,the,lead,to,charm,a,and,quite,with,like,and,into,court,each,with,raft,X,caught,cheat,the,us,best,sea,soon,world,fry,reached,white,by,you,snapped,hurry,the,walk,same,another,head,of,lack,in ,good,flavour.,in,the,hero,one,miles,the,for,brown,spoils,the,the,stole,binds,the,to,halt,to,a,lit,drown,of,child,watched,stung,needs,into,smooth,your,eat,on,high,only,covered,in,stalk,leaves,want,but,was,from,that,and,on,the,"swan,",and,on,we,be,in,lined,to,of,write,on,fire,on,changes.,ten,and,with,pipe,keep,a,in,in,kept,against,struck,the,stood,and,sew,dog,make,fine,half,the,rough,secrets,is,to,of,dish,each,gives,sand,the,carpet,vote.,0,0,0,0,0,0,0,74,0,4,4,4,,,,,,,space,0.23079049999068957,18.761856400000397,None,18.761856400000397,None,,,,,,,,,,,,,,,,,,001,2022_Aug_11_2137,ReadingTask01,2020.2.5,59.93823964034189,
74,How many weeks does the lease run for (number)?,16,the ,dark,depth,is,round,fine,the,corn,faced,is,the,catch,river,follow,to,to,heat.,man's,from,sold,hole,on,a ,short,stunned,the,useless,the,the,pleasure.,left,reach,the,dirty,go,and,to,clear,the,living.,in,on ,third,the,the,the,seven,plunge,drug,z,the,fool,sums.,from,used,oiled,next,sweet,porch,their,show,the,hardware,the,the,snow,the,for,edge,for,point,on,the,without,sixteen,nice,woke,with,a,in,task,the,factors,and,his,fence,parts.,rich.,tight.,moved,the,in,more,cut,quite,it,June,make,order.,third,gives,the,while,break,product,jail.,improves,great,high,hot,tree,in,wind,"quick,",give,ice,right,in,score,simplest,orders.,less,with,its,dirty,whiskey,in,at,weak,her,danger,thirty,leaves.,than,eyes,wise,the,to,a,with,gate.,first,with,right,high,z,a,was,front,the,the,this,that,high,stories,used.,of,coin,quite,and,back,air,add,hard,win,toys,"dull,",the,spilled,from,valve.,small,dry,clear,floor.,of,these,today,ship,the,cloth.,to,to,and,suffer,the,good,ten,the,of,tree,to,noise,of,buyer,ice,next,the,were,the,fire,catch,of,tall,such,for,straight,maid,there,his,he,ship,along,stick.,covered.,water,blue,may,bright,bank,writes,drink,and,steady,the,dull,a,fast,then,fine,decide,time,groups,to,that,in,buyers.,bell,lose,brand,breeze,as,to,the,its,and,a,freeze,early.,up,curtain,the,size.,we,chopped ,red,a,fizz,than,z,the ,wall,to,war,around.,empty,football,jug,beef,hot-cross,field,the,the,smuggled,find,the,dig,mouldy,and,the ,both,is,the,his,much,block,surface,hands,the,rainy,tones,a,with,the,of,was,to,one,a,store,empty,green,the,breeze.,tall ,the,the,sing,turned,just,with,discuss,a,much,the,hose,as,z,years,sometimes,sticky,with,our,neat,the,the,dry.,the,by,cool,in,shallow,both,down,a,lines,of,central,needs,are,easy,makr,the,served,dull,us,fails,day,to,z,0,0,0,0,0,0,0,74,0,5,5,5,,,,,,,space,0.25382539999554865,19.011188599994057,None,19.011188599994057,None,,,,,,,,,,,,,,,,,,001,2022_Aug_11_2137,ReadingTask01,2020.2.5,59.93823964034189,
74,How many weeks does the lease run for (number)?,16,smooth,blue,of,a,bowls.,punch.,parked,and,us.,hard,sun,pink,is,through.,her,pass,z,fall.,the,fifty,in,the,button,of,the,tank.,trash.,tall,same,z,shoulder.,the,gas,face.,out.,hung,kittens.,response.,bell,z,the,the,week.,hot,cool,fence.,books,in.,store.,z,coat.,the,z,the,for,wheels.,hill.,fudge.,steps.,raging,in,first,store.,third,field.,drifts.,floor,hikes,of,the,into,the,finished,a,weeks.,pet.,the,firm,thin,thick,force.,scared,here.,too,case.,post.,z,z,z,a,street.,the,than,the,stupid.,from,that,costly,z,week.,shade.,other.,new.,the,of,z,with,speed.,fence.,fire.,was,the,blew.,sharp,out.,cream.,hand,parts,low.,things.,z,he,a,contents.,brass.,is,a,the,dying,hat.,on,times.,z,ten.,of,chief.,friend,new,bad,a,z,scores.,ham.,verdict.,wind.,z,graceful,made,of,desk,tin,track,day.,for,is,z,the,but,neatly.,of,of,is,the,to,the,and,sad,great,water.,the,z,dog.,leaves,and,z,the,pills.,at,arrived,last,z,write.,waste.,tired,fright.,sum ,cook.,inches.,round,wearing,is,kindle,started.,thumb,at,pail.,puff,third,sad.,oat,to,trout,the,wading,wonders.,the,home.,to,at,low,moved,was,the,z,z,taps.,or,forget,clean,on,best.,from,grace.,green,saw,and,loud,music.,burn,ribbons.,the,they,of,sun,meant,nets.,z,rings,balance.,of,is,we,more,egg.,peak,lonesome.,bright,water.,z,the,slides,middle,z,need,off.,clay,compass.,drinks.,others.,z,front,and,the,is,z,room.,fans.,is,stew.,bun.,at,pearl,box,food.,the,bond,the,smell.,pine,sharp,jam,the,screen.,tender,courage.,form.,is,green.,crackers.,days.,of,pierced,hard,wide,wheat,set,finish,button,brew,shelves.,space.,in,workman's,z,and,tire,old,the,off.,six,coloured,their,person,with,sleeping ,was,tight,z,old.,act.,glue.,strong,mules,thin,snow,sun's,z,wall.,metal.,green,a,at,edges,the,book.,of,the,part,work,sent.,for,brass,pole,to,night.,warmth,to,for,the,z,0,0,0,0,0,0,0,74,0,6,6,6,,,,,,,space,0.26493079999636393,19.312011199988774,None,19.312011199988774,None,,,,,,,,,,,,,,,,,,001,2022_Aug_11_2137,ReadingTask01,2020.2.5,59.93823964034189,
74,How many weeks does the lease run for (number)?,16,planks.,background.,a,rare,z,z,truck.,garbage.,z,to,rose.,salmon.,the,z,feet.,the,z,z,sea.,bonds.,the,bent,on,perfect.,young,z,z,rider.,morning.,z,z,lake.,tank.,z,z,limp.,z,z,rang.,z,early,sharp,z,sun.,grass.,z,at,z,z,z,z,mouse.,z,very,making,z,z,z,z,storm.,the,draft.,z,period.,z,z,with,on,the,actor,the,sand.,page.,fight.,z,z,sleeping,strokes.,silver,slices.,z,mouse.,z,droopy.,z,z,z,z,z,limb.,z,blue,eggs.,clear,z,sinking.,year.,gifts.,z,z,z,z,z,glass.,these,z,age.,z,z,z,shiny,fall.,z,blow.,z,z,side.,of,z,z,z,got,watchful,z,z,booze.,rusty,farther,flame.,z,a,z,z,z,the,z,you,men.,turn.,smoky,z,z,z,z,z,z,way.,by,his,top.,tray.,mark.,z,the,rare.,z,lost,failed.,z,light,the,pure.,figures.,buy.,prize.,blocks.,tan.,young,z,hot,z,z,outside.,bright,z,week.,z,noon.,in,cent.,z,z,z,the,z,here.,z,z,block,clothes.,apple,a,z,tacks.,a,z,of,class.,z,crop.,the,and,bath,bird.,z,fifth,z,serve.,there,score.,it.,hard,wall.,z,z,z,red,it.,brass.,Main,z,a,z,flame.,to,worn.,crash.,z,it.,z,case.,attack.,former,their,nothing.,z,z,weakly.,z,corn.,soft,sat,sound,z,Tuesday.,z,red,z,z,bank.,back.,of,z,fun.,z,bricks.,z,z,z,z,closet.,spill,big,enough.,z,z,z,tasty.,z,z,a,necklace.,tightly.,z,tan,drive.,ruins.,z,torch.,odour.,and,swan,z,eyes.,z,z,a,z,z,z,the,ear.,fudge.,river.,grew,on,early.,was,of,z,z,the,head.,z,graceful.,flat,wall,last,z,minutes.,frocks.,plans.,takes,care.,cat.,bright,as,z,z,z,z,contents.,healthy.,case.,was,rays.,z,z,z,grass.,line.,low,straight.,street.,z,the,group.,of,to,z,us,objects.,revolved,children.,z,and,endure.,us.,worn,z,0,0,0,0,0,0,0,74,0,7,7,7,,,,,,,None,,None,None,None,None,,,,,,,,,,,,,,,,,,001,2022_Aug_11_2137,ReadingTask01,2020.2.5,59.93823964034189,
74,How many weeks does the lease run for (number)?,16,z,z,well.,dish.,z,z,z,z,z,sell.,z,z,clear,z,z,evening.,z,z,z,z,sock.,hook.,the,z,boy.,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,days,reef.,z,z,z,z,once.,z,z,z,z,z,z,start.,boards.,z,z,z,z,z,circus.,z,z,z,z,z,a,the,water.,to,bay.,z,z,z,z,z,cop.,z,ring.,z,z,z,z,z,z,z,z,z,z,z,z,air.,z,water.,z,z,z,z,z,z,z,z,z,z,three.,z,z,z,z,z,and,z,z,z,z,z,z,the,z,z,z,done.,eye.,z,z,z,trap.,shore.,z,z,swim.,z,z,z,sweet,z,cherish.,z,z,taste.,z,z,z,z,z,z,z,green,white,z,z,z,z,couch.,z,z,ship.,z,z,weight.,wide,z,z,z,z,z,z,actress.,z,pipes.,z,z,z,blue.,z,z,z,z,port.,z,z,z,z,players.,z,z,z,z,of,z,shaped.,fire.,z,z,good,z,wind.,z,z,z,attic.,flounder.,water.,z,z,night.,z,z,inn.,z,z,to,z,z,z,z,ink.,z,z,Street.,z,bucket.,z,z,the,z,z,z,z,z,z,z,friends.,white,z,z,z,z,z,z,and,down.,and,z,z,z,snapper.,z,z,z,z,the,z,z,z,z,z,z,z,z,z,it,town.,z,z,z,z,z,z,z,brisk,z,z,z,shirt.,z,z,z,z,z,crackers.,boat.,z,z,z,z,bump,z,z,z,horn.,z,z,z,daily.,fire.,z,gone.,malt,z,z,window.,z,z,z,and,clock.,chorus.,z,z,z,z,luck.,z,z,brass.,needed.,z,z,z,z,z,z,z,the,z,z,z,z,z,z,tide.,z,z,z,painting.,z,town.,polish.,z,to,z,in,z,z,comfort.,z,z,floor.,z,0,0,0,0,0,0,0,74,0,8,8,8,,,,,,,None,,None,None,None,None,,,,,,,,,,,,,,,,,,001,2022_Aug_11_2137,ReadingTask01,2020.2.5,59.93823964034189,
